Usuario	            Contraseña	        Hash de la Contraseña
Juan Pérez	        contrasena123	$2y$10$EZ0zIRsVRYvIdClCV8dKn.8H9V1Xltbg0wvQ9HEk19sLlmYzRYSeO
Ana Gómez	        contrasena456	$2y$10$TlffjZC6kd7SKGsf1dehfW5nuzM2x8zszMvsTjVsF/fL.IHF.HTvK
Carlos Lopez	    contrasena789	$2y$10$hHl3KQUwymbJXG2TLejZ9.d9sG4rp0dGRlX7Vw/gOnFYsQfHlLOeO
María Martínez	    contrasena101	$2y$10$pxn6Sy16Fr8QwV4kKht5A.Y5YVvHBYE8V5MlHZnJH0pyqDkPRftR.
José Ramírez	    contrasena202	$2y$10$9gs10OgiIAYeyXtzq6vslGum1ZK9RH9N1D6zV83cJKVVTTwBikJH.
Laura Sánchez	    contrasena303	$2y$10$4HLtZylpwDDx5ktHKYLP4u0OykHvYvnDaFU7A0lt.zCAuqUudFNEC
Miguel Díaz	        contrasena404	$2y$10$W6PDRJ0oXZ50EnK7knUnUu04A5a5XjFvPyfJ.Mlbgnc4jflHmc5p2
Isabel Torres	    contrasena505	$2y$10$Lg7GsdzCr.J5krRrLje7coIaEKsc2bLwNkwfZQks6kD3IFaY1m5Fe
Francisco García    contrasena606	$2y$10$hC3XkBXu7jEOVQss0HZt6G7.Jy6E8zXjRuBaClBs3Yo7H4nnq7Riq
Beatriz Hernández	contrasena707	$2y$10$MKQwvXz01B1rtV7jpuf8l.EkD5jABZGvLdoDeO1sk4oDq3jwzmB6o
Oscar Mendoza	    contrasena808	$2y$10$5wR5YKm6ktF7j60g9A6Uq9rq6d1B1nTpOtUMsc2yjsjT53eJbYt6u
Paula Romero	    contrasena909	$2y$10$7HZ9aoyVmnR6tqQfbV0ApHvX1qE8Op7roKH23AeGgn4hoF6QhsUxe
Antonio Gutiérrez	contrasena010	$2y$10$1y/fqmhnoYmLNe0HcLSEK9sRVwdHiD9xzUOVymkjksJbYIRR9g3t.
Raquel Ruiz	        contrasena111	$2y$10$5tGoV2ODwNwB01ls.IhlYSo4j/J48zAzkaElMPBWSgY6IpyQbVhTS
Luis Vargas	        contrasena212	$2y$10$hKnFBlME2xfk7rs4V7MGDWe2t8ICgwtYjoB33tu2h0GQCh.Nzp6Na
